,precision_name,precision_dose,precision_dose_unit,recall_name,recall_dose,recall_dose_unit,f1_score_name,f1_score_dose,f1_score_dose_unit,precision_intake,recall_intake,f1_score_intake,sample
0,0.07,0.06,0.07,0.06,0.05,0.06,0.06,0.05,0.06,0.07,0.06,0.06,whole test set
1,1.0,0.75,1.0,0.75,0.5,0.75,0.83,0.58,0.83,1.0,0.75,0.83,extracted
